,city,lat,lng
374,Kumbakonam,10.9602,79.3845
375,Bhimavaram,16.543,81.523
376,Dehri,24.91,84.18
377,Mandsaur,24.03,75.08
378,Chicacole,18.3,83.9
379,Mandya,12.5242,76.8958
380,Bankura,23.25,87.0667
381,Siwan,26.22,84.36
382,Khargone,21.8229,75.6139
383,Raigarh,21.8,83.3
384,Yelahanka,13.1007,77.5963
385,Chikmagalur,13.3167,75.7833
386,Gondia,21.45,80.2
387,Hassan,13.005,76.1028
388,Palwal,28.143,77.329
389,Palghat,10.7792,76.6547
390,Chittandikavundanur,10.6931,76.7188
391,Kanchrapara,22.9456,88.4332
392,Chas,23.63,86.17
393,Bongaigaon,26.4769,90.5583
394,Mukerian,31.95,75.62
395,Hanumangarh,29.5833,74.3167
396,Mothihari,26.65,84.9167
397,Alwal,17.5047,78.5038
398,Hoshangabad,22.7475,77.7274
399,Khanna,30.7,76.22
400,Nagda,23.4564,75.4131
401,Jharsugra,21.85,84.03
402,Palni,10.45,77.5161
403,Basirhat,22.6612,88.866
404,Navadwip,23.4088,88.3657
405,Guntakal,15.17,77.38
406,Pithampur,22.6197,75.6933
407,Halisahar,22.95,88.42
408,Rishra,22.71,88.35
409,Patan,23.85,72.1167
410,Sunam,30.13,75.8
411,Pali,23.35,81.05
412,Nandgaon,20.307,74.657
413,Bhadrakh,21.0545,86.5156
414,Dimapur,25.92,93.73
415,Baidyabati,22.79,88.32
416,Dharmavaram,14.43,77.72
417,Ghazipur,25.5833,83.5667
418,Puruliya,23.3333,86.3667
419,Gudiyattam,12.9476,78.87
420,Bagaha,27.0992,84.09
421,Gurdaspur,32.0333,75.4
422,Satara,17.6833,73.9833
423,Darjeeling,27.0375,88.2631
424,Bagalkot,16.1833,75.7
425,Nokha,27.6,73.42
426,Gudivada,16.43,80.99
427,Sopur,34.3,74.47
428,Phagwara,31.22,75.77
429,Pudukkottai,10.3833,78.8001
430,Adilabad,19.6667,78.5333
431,Narasaraopet,16.25,80.07
432,Pollachi,10.659,77.008
433,Barnala,30.37,75.54
434,Yavatmal,20.4,78.1333
435,Chittaurgarh,24.8894,74.6239
436,Kovilpatti,9.1744,77.8688
437,Bansbaria,22.97,88.4
438,Kaikkudi,9.893,78.7313
439,Osmanabad,18.1667,76.05
440,Sahibganj,25.25,87.65
441,Balangir,20.72,83.48
442,Rajpura,30.484,76.594
443,Madhavaram,13.1482,80.2314
444,Champdani,22.8,88.37
445,Mahasamund,21.11,82.1
446,Shujalpur,23.4,76.72
447,Khardah,22.72,88.38
448,Nawada,24.88,85.53
449,Muktsar,30.4743,74.5166
450,Betul Bazar,21.92,77.9
451,Ferozepore,30.9166,74.6
452,Bangaon,23.0435,88.8318
453,Datia,25.67,78.47
454,Sehore,23.2,77.08
455,Sitamarhi,26.6,85.48
456,Mungeli,22.07,81.68
457,Tadpatri,14.92,78.02
458,Islamabad,33.73,75.15
459,Jalpaiguri,26.5167,88.7333
460,Gharbara,28.4962,77.536
461,Shamli,29.45,77.32
462,Suriapet,17.1415,79.6236
463,Shikohabad,27.1,78.6
464,Kishanganj,26.0794,87.9372
465,Ranibennur,14.6167,75.6167
466,Jamalpur,25.3,86.5
467,Nautanwa,27.43,83.42
468,Gangawati,15.43,76.53
469,Ballia,25.7604,84.1471
470,Mirialguda,16.8667,79.5833
471,Makrana,27.05,74.72
472,Sheopur,25.67,76.7
473,Tezpur,26.63,92.8
474,Kurichchi,10.9609,76.9738
475,Tadepallegudem,16.815,81.526
476,Brajarajnagar,21.8167,83.9167
477,Kalyani,22.975,88.4344
478,Negapatam,10.7667,79.8333
479,Buxar,25.5605,83.9805
480,Bundi,25.4383,75.6372
481,Amaravati,16.5131,80.5165
482,Rishikesh,30.1083,78.2972
483,Bhadreswar,22.82,88.35
484,Sundarnagar,31.53,76.88
485,Seoni,22.08,79.53
486,Kapurthala,31.38,75.38
487,Aurangabad,24.7,84.35
488,Chilakalurupet,16.0892,80.1672
489,Vasco Da Gama,15.3981,73.8111
490,Dhamtari,20.71,81.55
491,Sujangarh,27.7,74.47
492,Jeypore,18.8563,82.5716
493,Port Blair,11.6683,92.7378
494,Chanwari,23.2,82.35
495,Gangtok,27.33,88.62
